Education,Relation_status,Seniority(in Years),Has_child,Children,Cluster,Age_group,Income_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
Postgraduate,Alone,10.50,No child,No child,Need attention,Senior,Medium to high income,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
Postgraduate,Alone,9.00,Has child,2 children,Leaky bucket,Senior,Low to medium income,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,9.54,No child,No child,Stars,Mature,High income,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.07,Has child,1 child,Leaky bucket,Adult,Low income,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
Postgraduate,In couple,9.13,Has child,1 child,Leaky bucket,Adult,Medium to high income,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
Postgraduate,In couple,9.49,Has child,1 child,Stars,Mature,Medium to high income,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
Postgraduate,Alone,10.31,Has child,1 child,Need attention,Mature,Medium to high income,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
Postgraduate,In couple,9.83,Has child,1 child,High potential,Adult,Low income,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
Postgraduate,In couple,9.75,Has child,1 child,High potential,Mature,Low income,Low consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
Postgraduate,In couple,8.98,Has child,2 children,Leaky bucket,Senior,Low income,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
Undergraduate,In couple,10.31,No child,No child,High potential,Mature,Low income,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
